,value,category
2803, does midwest express serve philadelphia,travel
2804, show me the flights from denver to san francisco,travel
2805, i would like a flight from washington to boston flight 324 on august twentieth,travel
2806, show me the nonstop flights from dallas to houston,travel
2807, what is the least expensive business class flight between boston and san francisco,travel
2808, is there a flight between philadelphia and denver that leaves philadelphia around 2 o'clock in the afternoon,travel
2809, list the flights from dallas to baltimore,travel
2810, show me the costs and times for flights from san francisco to atlanta,travel
2811, show me the flights from denver to atlanta on friday,travel
2812, what does the fare code y mean,travel
2813, i would like to see the flights from denver to philadelphia,travel
2814, is there an atlanta flight to denver connecting,travel
2815, what is the last flight out of pittsburgh to boston in the evening on tuesdays,travel
2816, what are all monday flights from denver to san francisco on united airlines,travel
2817, show all flights from pittsburgh to san francisco on july twenty eighth 1991,travel
2818, i would like information on any flights from san francisco to pittsburgh arriving in pittsburgh before 8 am tuesday morning,travel
2819, i would like to see the flights from denver to philadelphia,travel
2820, which airline has the most business class flights,travel
2821, find travel arrangements for a round trip flight from dallas to pittsburgh after 8 pm,travel
2822, does united airlines fly from denver to baltimore,travel
2823, can you show me the flights from baltimore to dallas,travel
2824, show me all the delta flights leaving or arriving at pittsburgh between 12 and 4 in the afternoon,travel
2825, what airline besides continental flies between boston and denver,travel
2826, show me all flights direct and connecting from boston to pittsburgh that arrive in pittsburgh before 10 am,travel
2827, is there any flight leaving washington around 3 o'clock for denver,travel
2828, i would like a schedule of flights from denver to san francisco on tuesday,travel
2829, can i rent a car in san jose too,travel
2830, list the flights from st. paul to san jose and from st. paul to houston,travel
2831, what's the earliest flight from dallas to houston,travel
2832, i would like information on flights from philadelphia to oakland california on friday afternoon,travel
2833, what type of aircraft is used on the flight from atlanta to philadelphia before 12 o'clock noon,travel
2834, what airline is dl,travel
2835, show me all flights from san francisco to boston philadelphia or baltimore,travel
2836, what are the early weekday flights from san francisco to pittsburgh,travel
2837, atlanta to oakland thursday,travel
2838, i want a flight from ontario to chicago,travel
2839, list all flights from minneapolis to long beach on saturday,travel
2840, i want to fly from boston to denver with a stop in philadelphia,travel
2841, i need a list of late afternoon flights from st. louis to chicago,travel
2842, what flights go from boston to orlando,travel
2843, list all flights going from boston to atlanta on wednesday after 6 o'clock pm on wednesday,travel
2844, what flights does delta have from denver to dallas after 5,travel
2845, i'd like to go from boston to san francisco,travel
2846, show me flights to philadelphia coming from baltimore or denver or pittsburgh,travel
2847, show me all the flights from san francisco to boston for august thirty first 1991,travel
2848, what flights go from chicago to seattle on saturday on continental airlines,travel
2849, price of flight from cleveland to nashville,travel
2850, what flights depart newark for tampa on friday,travel
2851, what is your cheapest flight from pittsburgh to denver,travel
2852, on september fourth i'll be traveling from pittsburgh to atlanta can you tell me what flight would be the cheapest,travel
2853, list all the arriving flights at general mitchell international,travel
2854, show me all economy prices from dallas to baltimore,travel
2855, tell me about ground transportation between orlando international and orlando,travel
2856, what type of ground transportation is available at logan airport,travel
2857, name the earliest flight from boston to san francisco,travel
2858, weekday flights from san francisco to denver,travel
